462
('C', 'C#', 'D', 'D#', 'E', 'F', 'F#', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'F', 'G', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'F', 'G#', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'F', 'A', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'F', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'F', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'F#', 'G', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'F#', 'G#', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'F#', 'A', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'F#', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'F#', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'G', 'G#', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'G', 'A', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'G', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'G', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'G#', 'A', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'G#', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'G#', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'A', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'E', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'F#', 'G', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'F#', 'G#', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'F#', 'A', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'F#', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'F#', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'G', 'G#', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'G', 'A', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'G', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'G', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'G#', 'A', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'G#', 'A#', 'C2')
